Origin,Destination,Distance,Duration,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude,Origin_Address,Destination_Address
Gelephu,Guwahati,225 km,5 hours 31 mins,26.8725114,90.4927134,26.1157917,91.7085933,"Gelephu, Bhutan","Guwahati, Assam, India"
Guwahati,Nagaon,121 km,2 hours 18 mins,26.1157917,91.7085933,26.348009,92.6838111,"Guwahati, Assam, India","Nagaon, Assam, India"
Nagaon,Itanagar,193 km,3 hours 37 mins,26.348009,92.6838111,27.0843682,93.6053163,"Nagaon, Assam, India",Itanagar
Itanagar,Ziro,103 km,2 hours 52 mins,27.0843682,93.6053163,27.544912,93.8196686,Itanagar,Ziro 791120
Ziro,Punchang eco resort Bogibeel(North bank),202 km,4 hours 46 mins,27.544912,93.8196686,27.4423721,94.7280438,Ziro 791120,"North bank, Bogibeel Bridge, Silapathar, Kareng Gaon, Assam 787059, India"
Punchang eco resort Bogibeel(North bank),GOLDEN PAGODA India,163 km,3 hours 21 mins,27.4423721,94.7280438,27.7724811,95.9749029,"North bank, Bogibeel Bridge, Silapathar, Kareng Gaon, Assam 787059, India","NH15, Noi Chenam, Tengapani, Namsai, Arunachal Pradesh 792103, India"
GOLDEN PAGODA India,Moranhat Town,171 km,3 hours 35 mins,27.7724811,95.9749029,27.175724,94.9195154,"NH15, Noi Chenam, Tengapani, Namsai, Arunachal Pradesh 792103, India","Moranhat Town, Assam, India"
Moranhat Town,Mokokchung,152 km,5 hours 8 mins,27.175724,94.9195154,26.3210313,94.5147156,"Moranhat Town, Assam, India","Mokokchung, Nagaland, India"
Mokokchung,Dulia Gaon,131 km,4 hours 19 mins,26.3210313,94.5147156,26.8160114,94.2480013,"Mokokchung, Nagaland, India","Dulia Gaon, Assam 785101, India"
Dulia Gaon,Kohima,208 km,5 hours 28 mins,26.8160114,94.2480013,25.6751129,94.10859980000001,"Dulia Gaon, Assam 785101, India","Kohima, Nagaland, India"
Kohima,Imphal,137 km,4 hours 51 mins,25.6751129,94.10859980000001,24.8107515,93.9386097,"Kohima, Nagaland, India","Imphal, Manipur, India"
Imphal,EBCC G.BUALZANG,121 km,3 hours 17 mins,24.8107515,93.9386097,24.1348434,93.4738623,"Imphal, Manipur, India","4FMF+WGQ, G Bualzang, Manipur 795139, India"
EBCC G.BUALZANG,Ngopa,127 km,4 hours 3 mins,24.1348434,93.4738623,23.8860801,93.21186709999999,"4FMF+WGQ, G Bualzang, Manipur 795139, India","Ngopa, Mizoram 796290, India"
Ngopa,Saichal Peng,74.8 km,3 hours 28 mins,23.8860801,93.21186709999999,23.6958,92.97105309999999,"Ngopa, Mizoram 796290, India","MXWC+8C7, Saitual Rd, Saitual, Mizoram 796261, India"
Saichal Peng,Aizawl,71.4 km,2 hours 21 mins,23.6958,92.97105309999999,23.7307175,92.71731059999999,"MXWC+8C7, Saitual Rd, Saitual, Mizoram 796261, India","Aizawl, Mizoram, India"
Aizawl,Rengdil Hmunțha Presbyterian Church,127 km,4 hours 21 mins,23.7307175,92.71731059999999,24.077779,92.3909379,"Aizawl, Mizoram, India","39HR+49G, Rengdil, Mizoram 796471, India"
Rengdil Hmunțha Presbyterian Church,Khowai,141 km,3 hours 59 mins,24.077779,92.3909379,24.0688744,91.6037913,"39HR+49G, Rengdil, Mizoram 796471, India","Khowai, Tripura, India"
Khowai,Agartala,54.9 km,1 hour 31 mins,24.0688744,91.6037913,23.831457,91.2867777,"Khowai, Tripura, India","Agartala, Tripura, India"
Agartala,Kolkata,"1,542 km",1 day 13 hours,23.831457,91.2867777,22.5743545,88.3628734,"Agartala, Tripura, India","Kolkata, West Bengal, India"
Kolkata,Kharagpur,130 km,2 hours 52 mins,22.5743545,88.3628734,22.3451723,87.3047053,"Kolkata, West Bengal, India","Kharagpur, West Bengal, India"
Kharagpur,Jamshedpur,155 km,3 hours 6 mins,22.3451723,87.3047053,22.8045665,86.2028754,"Kharagpur, West Bengal, India","Jamshedpur, Jharkhand, India"
Jamshedpur,Karanjia,137 km,3 hours 26 mins,22.8045665,86.2028754,21.7633498,85.9738752,"Jamshedpur, Jharkhand, India","Karanjia, Odisha 757037, India"
Karanjia,Bhubaneswar,213 km,4 hours 26 mins,21.7633498,85.9738752,20.2959847,85.8246101,"Karanjia, Odisha 757037, India","Bhubaneswar, Odisha, India"
Bhubaneswar,Brahmapur,173 km,3 hours 11 mins,20.2959847,85.8246101,19.3149618,84.7940911,"Bhubaneswar, Odisha, India","Brahmapur, Odisha, India"
Brahmapur,Visakhapatnam,277 km,5 hours 15 mins,19.3149618,84.7940911,17.6868159,83.2184815,"Brahmapur, Odisha, India","Visakhapatnam, Andhra Pradesh, India"
Visakhapatnam,Araku Valley,113 km,3 hours 15 mins,17.6868159,83.2184815,18.3222221,82.88017649999999,"Visakhapatnam, Andhra Pradesh, India","Araku Valley, Andhra Pradesh, India"
Araku Valley,Jagdalpur,184 km,4 hours 7 mins,18.3222221,82.88017649999999,19.0861377,82.0188426,"Araku Valley, Andhra Pradesh, India","Jagdalpur, Chhattisgarh 494001, India"
Jagdalpur,Bhadrachalam,254 km,5 hours 47 mins,19.0861377,82.0188426,17.6704896,80.89377789999999,"Jagdalpur, Chhattisgarh 494001, India","Bhadrachalam, Andhra Pradesh 507111, India"
Bhadrachalam,Hyderabad,313 km,6 hours 31 mins,17.6704896,80.89377789999999,17.406498,78.47724389999999,"Bhadrachalam, Andhra Pradesh 507111, India","Hyderabad, Telangana, India"
Hyderabad,Kurnool,218 km,3 hours 45 mins,17.406498,78.47724389999999,15.8281257,78.0372792,"Hyderabad, Telangana, India","Kurnool, Andhra Pradesh, India"
Kurnool,Anantapur,147 km,2 hours 27 mins,15.8281257,78.0372792,14.6824455,77.6017089,"Kurnool, Andhra Pradesh, India","Anantapur, Andhra Pradesh, India"
Anantapur,Bengaluru,215 km,3 hours 54 mins,14.6824455,77.6017089,12.9715987,77.5945627,"Anantapur, Andhra Pradesh, India","Bengaluru, Karnataka, India"
Bengaluru,Coimbatore,315 km,6 hours 40 mins,12.9715987,77.5945627,11.0168445,76.9558321,"Bengaluru, Karnataka, India","Coimbatore, Tamil Nadu, India"
Coimbatore,Kochi,190 km,4 hours 15 mins,11.0168445,76.9558321,9.9312328,76.26730409999999,"Coimbatore, Tamil Nadu, India","Kochi, Kerala, India"
Kochi,Thiruvananthapuram,206 km,5 hours 14 mins,9.9312328,76.26730409999999,8.5241391,76.9366376,"Kochi, Kerala, India","Thiruvananthapuram, Kerala, India"
Total,18039.2 km,18039.2 km,411 hours 13 mins, , , , , , 
